action,water,filter,id
toilet (per flush), 6,flush,toilet
low-flow toilet(per flush), 1.3,flush,ltoilet
shower (per minute), 3.8,shower,shower
low-flow shower (per minute), 2.3,shower,lshower
faucet (per minute), 5,faucet,faucet
low-flow faucet (per minute), 1.5,faucet,lfaucet
coffee, 37,drink,coffee
tea, 9,drink,tea
water, 0.125,drink,water
soda, 33,drink,soda
wine, 31,drink,wine
beer, 20,drink,beer
egg, 36,food,egg
apple, 18,food,apple
orange, 13,food,orange
potato, 7,food,potato
cereal, 22,food,cereal
hamburger, 634,food,hamburger
salad, 31,food,salad
beef(/lb), 1500,food,beef
chicken, 287,food,chicken
bread, 11,food,bread
dish washing (by hand), 20,dish,dishhand
dish washing (dishwasher), 4,dish,dishmachine
washing machine, 40,wash,wash
(enery star) washing machine, 22,wash,lwash
bath,35,bath,bath
no bath,0,bath,nobath
